Date,SP500,T10yAaa.lag,AaaBaa.lag,T10yT1y.lag
1987-11-24,0.013895331554229,1.19,1.23,1.84
1987-11-25,-0.0093376403826,1.1,1.22,1.92
1987-11-27,-0.01552343113894,1.02,1.22,1.95
1987-11-30,-0.042671750986938,0.95,1.16,1.99
1987-12-01,0.007354551813183,1.14,1.1,1.99
1987-12-02,0.006230536899919,1.12,1.1,1.96
1987-12-03,-0.035934577231108,1.1,1.12,1.98
1987-12-04,-0.005744495059685,1.12,1.19,1.93
1987-12-07,0.021384560914711,1.07,1.2,1.94
1987-12-08,0.026529081903325,0.98,1.2,1.87
1987-12-09,0.016800711657965,1.01,1.15,1.88
1987-12-10,-0.022521342732449,1.06,1.13,1.87
1987-12-11,0.007464471723996,0.97,1.14,1.91
1987-12-14,0.02877623059003,0.98,1.17,1.98
1987-12-15,0.00255668592876,1.03,1.16,1.93
1987-12-16,0.021472046592336,1.13,1.18,1.87
1987-12-17,-0.020772163889774,1.18,1.19,1.79
1987-12-18,0.025116157475551,1.13,1.18,1.76
1987-12-21,0.001523918491374,1.22,1.18,1.73
1987-12-22,0.001641690925918,1.2,1.22,1.7
1987-12-23,0.01276082985021,1.14,1.22,1.71
1987-12-24,-0.004473591630305,1.26,1.18,1.65
1987-12-28,-0.025966056597019,1.22,1.19,1.65
1987-12-29,-0.003998744491034,1.13,1.21,1.73
1987-12-30,0.013280751682234,1.22,1.16,1.66
1987-12-31,-0.003151895749022,1.28,1.17,1.69
1988-01-04,0.035230870901539,1.23,1.16,1.73
